"crime_id","crime_name","case_id"
"7336","贩卖毒品罪","3803"
"7337","贩卖毒品罪","3804"
"7338","贩卖毒品罪","3805"
"7339","贩卖毒品罪","3806"
"7340","故意伤害罪","3806"
"7341","贩卖毒品罪","3807"
"7342","贩卖毒品罪","3808"
"7343","贩卖毒品罪","3809"
"7344","贩卖毒品罪","3810"
"7345","运输毒品罪","3811"
"7346","贩卖毒品罪","3812"
"7347","贩卖毒品罪","3813"
"7348","贩卖毒品罪","3814"
"7349","贩卖毒品罪","3815"
"7350","贩卖毒品罪","3816"
"7351","贩卖毒品罪","3817"
"7352","贩卖毒品罪","3818"
"7353","贩卖毒品罪","3819"
"7354","贩卖毒品罪","3820"
"7355","贩卖毒品罪","3821"
"7356","贩卖毒品罪","3822"
"7357","贩卖毒品罪","3823"
"7358","贩卖毒品罪","3824"
"7359","贩卖毒品罪","3825"
"7360","贩卖毒品罪","3826"
"7361","贩卖毒品罪","3827"
"7362","贩卖毒品罪","3828"
"7363","贩卖毒品罪","3829"
"7364","贩卖毒品罪","3830"
"7365","贩卖毒品罪","3831"
"7366","贩卖毒品罪","3832"
"7367","贩卖毒品罪","3833"
"7368","贩卖毒品罪","3834"
"7369","贩卖毒品罪","3835"
"7370","贩卖毒品罪","3836"
"7371","贩卖毒品罪","3837"
"7372","贩卖毒品罪","3838"
"7373","运输毒品罪","3838"
"7374","贩卖毒品罪","3839"
"7375","运输毒品罪","3839"
"7376","贩卖毒品罪","3840"
"7377","容留他人吸毒罪","3840"
"7378","贩卖毒品罪","3841"
"7379","运输毒品罪","3841"
"7380","容留他人吸毒罪","3841"
"7381","贩卖毒品罪","3842"
"7382","运输毒品罪","3842"
"7383","贩卖毒品罪","3843"
"7384","贩卖毒品罪","3844"
"7385","贩卖毒品罪","3845"
"7386","贩卖毒品罪","3846"
"7387","贩卖毒品罪","3847"
"7388","贩卖毒品罪","3848"
"7389","贩卖毒品罪","3849"
"7390","贩卖毒品罪","3850"
"7391","贩卖毒品罪","3851"
"7392","运输毒品罪","3851"
"7393","贩卖毒品罪","3852"
"7394","贩卖毒品罪","3853"
"7395","贩卖毒品罪","3854"
"7396","贩卖毒品罪","3855"
"7397","贩卖毒品罪","3856"
"7398","贩卖毒品罪","3857"
"7399","贩卖毒品罪","3858"
"7400","贩卖毒品罪","3859"
"7401","贩卖毒品罪","3860"
"7402","贩卖毒品罪","3861"
"7403","贩卖毒品罪","3862"
"7404","贩卖毒品罪","3863"
"7405","贩卖毒品罪","3864"
"7406","容留他人吸毒罪","3864"
"7407","贩卖毒品罪","3865"
"7408","贩卖毒品罪","3866"
"7409","贩卖毒品罪","3867"
"7410","贩卖毒品罪","3868"
"7411","贩卖毒品罪","3869"
"7412","盗窃罪","3869"
"7413","贩卖毒品罪","3870"
"7414","贩卖毒品罪","3871"
"7415","贩卖毒品罪","3872"
"7416","贩卖毒品罪","3873"
"7417","容留他人吸毒罪","3873"
"7418","非法持有毒品罪","3874"
"7419","贩卖毒品罪","3875"
"7420","贩卖毒品罪","3876"
"7421","贩卖毒品罪","3877"
"7422","贩卖毒品罪","3878"
"7423","贩卖毒品罪","3879"
"7424","贩卖毒品罪","3880"
"7425","贩卖毒品罪","3881"
"7426","贩卖毒品罪","3882"
"7427","容留他人吸毒罪","3883"
"7428","贩卖毒品罪","3883"
"7429","贩卖毒品罪","3884"
"7430","贩卖毒品罪","3885"
"7431","贩卖毒品罪","3886"
"7432","贩卖毒品罪","3887"
"7433","贩卖毒品罪","3888"
"7434","贩卖毒品罪","3889"
"7435","贩卖毒品罪","3890"
"7436","贩卖毒品罪","3891"
"7437","贩卖毒品罪","3892"
"7438","贩卖毒品罪","3893"
"7439","贩卖毒品罪","3894"
"7440","贩卖毒品罪","3895"
"7441","贩卖毒品罪","3896"
"7442","贩卖毒品罪","3897"
"7443","贩卖毒品罪","3898"
"7444","贩卖毒品罪","3899"
"7445","贩卖毒品罪","3900"
"7446","贩卖毒品罪","3901"
"7447","贩卖毒品罪","3902"
"7448","贩卖毒品罪","3903"
"7449","贩卖毒品罪","3904"
"7450","贩卖毒品罪","3905"
"7451","贩卖毒品罪","3906"
"7452","贩卖毒品罪","3907"
"7453","贩卖毒品罪","3908"
"7454","贩卖毒品罪","3909"
"7455","贩卖毒品罪","3910"
"7456","贩卖毒品罪","3911"
"7457","贩卖毒品罪","3912"
"7458","贩卖毒品罪","3913"
"7459","贩卖毒品罪","3914"
"7460","贩卖毒品罪","3915"
"7461","贩卖毒品罪","3916"
"7462","贩卖毒品罪","3917"
"7463","贩卖毒品罪","3918"
"7464","贩卖毒品罪","3919"
"7465","贩卖毒品罪","3920"
"7466","贩卖毒品罪","3921"
"7467","贩卖毒品罪","3922"
"7468","贩卖毒品罪","3923"
"7469","运输毒品罪","3924"
"7470","贩卖毒品罪","3925"
"7471","贩卖毒品罪","3926"
"7472","贩卖毒品罪","3927"
"7473","贩卖毒品罪","3928"
"7474","贩卖毒品罪","3929"
"7475","贩卖毒品罪","3930"
"7476","贩卖毒品罪","3931"
"7477","贩卖毒品罪","3932"
"7478","贩卖毒品罪","3933"
"7479","贩卖毒品罪","3934"
"7480","贩卖毒品罪","3935"
"7481","贩卖毒品罪","3936"
"7482","贩卖毒品罪","3937"
"7483","贩卖毒品罪","3938"
"7484","贩卖毒品罪","3939"
"7485","贩卖毒品罪","3940"
"7486","贩卖毒品罪","3941"
"7487","贩卖毒品罪","3942"
"7488","贩卖毒品罪","3943"
"7489","贩卖毒品罪","3944"
"7490","贩卖毒品罪","3945"
"7491","贩卖毒品罪","3946"
"7492","贩卖毒品罪","3947"
"7493","贩卖毒品罪","3948"
"7494","贩卖毒品罪","3949"
"7495","贩卖毒品罪","3950"
"7496","贩卖毒品罪","3951"
"7497","贩卖毒品罪","3952"
"7498","贩卖毒品罪","3953"
"7499","贩卖毒品罪","3954"
"7500","贩卖毒品罪","3955"
"7501","贩卖毒品罪","3956"
"7502","贩卖毒品罪","3957"
"7503","容留他人吸毒罪","3957"
"7504","贩卖毒品罪","3958"
"7505","贩卖毒品罪","3959"
"7506","贩卖毒品罪","3960"
"7507","贩卖毒品罪","3961"
"7508","贩卖毒品罪","3962"
"7509","贩卖毒品罪","3963"
"7510","贩卖毒品罪","3964"
"7511","贩卖毒品罪","3965"
"7512","贩卖毒品罪","3966"
"7513","贩卖毒品罪","3967"
"7514","贩卖毒品罪","3968"
"7515","运输毒品罪","3968"
"7516","贩卖毒品罪","3969"
"7517","贩卖毒品罪","3970"
"7518","贩卖毒品罪","3971"
"7519","贩卖毒品罪","3972"
"7520","贩卖毒品罪","3973"
"7521","贩卖毒品罪","3974"
"7522","贩卖毒品罪","3975"
"7523","贩卖毒品罪","3976"
"7524","贩卖毒品罪","3977"
"7525","贩卖毒品罪","3978"
"7526","贩卖毒品罪","3979"
"7527","贩卖毒品罪","3980"
"7528","贩卖毒品罪","3981"
"7529","容留他人吸毒罪","3981"
"7530","非法持有毒品罪","3982"
"7531","贩卖毒品罪","3983"
"7532","贩卖毒品罪","3984"
"7533","贩卖毒品罪","3985"
"7534","贩卖毒品罪","3986"
"7535","贩卖毒品罪","3987"
"7536","贩卖毒品罪","3988"
"7537","贩卖毒品罪","3989"
"7538","贩卖毒品罪","3990"
"7539","贩卖毒品罪","3991"
"7540","贩卖毒品罪","3992"
"7541","贩卖毒品罪","3993"
"7542","贩卖毒品罪","3994"
"7543","贩卖毒品罪","3995"
"7544","贩卖毒品罪","3996"
"7545","贩卖毒品罪","3997"
"7546","贩卖毒品罪","3998"
"7547","贩卖毒品罪","3999"
"7548","贩卖毒品罪","4000"
"7549","贩卖毒品罪","4001"
"7550","贩卖毒品罪","4002"
"7551","贩卖毒品罪","4003"
"7552","贩卖毒品罪","4004"
"7553","容留他人吸毒罪","4004"
"7554","贩卖毒品罪","4005"
"7555","贩卖毒品罪","4006"
"7556","贩卖毒品罪","4007"
"7557","贩卖毒品罪","4008"
"7558","贩卖毒品罪","4009"
"7559","贩卖毒品罪","4010"
"7560","贩卖毒品罪","4011"
"7561","贩卖毒品罪","4012"
"7562","贩卖毒品罪","4013"
"7563","贩卖毒品罪","4014"
"7564","贩卖毒品罪","4015"
"7565","贩卖毒品罪","4016"
"7566","贩卖毒品罪","4017"
"7567","贩卖毒品罪","4018"
"7568","容留他人吸毒罪","4018"
"7569","贩卖毒品罪","4019"
"7570","贩卖毒品罪","4020"
"7571","贩卖毒品罪","4021"
"7572","贩卖毒品罪","4022"
"7573","贩卖毒品罪","4023"
"7574","贩卖毒品罪","4024"
"7575","贩卖毒品罪","4025"
"7576","贩卖毒品罪","4026"
"7577","贩卖毒品罪","4027"
"7578","贩卖毒品罪","4028"
"7579","贩卖毒品罪","4029"
"7580","贩卖毒品罪","4030"
"7581","贩卖毒品罪","4031"
"7582","贩卖毒品罪","4032"
"7583","贩卖毒品罪","4033"
"7584","贩卖毒品罪","4034"
"7585","贩卖毒品罪","4035"
"7586","容留他人吸毒罪","4035"
"7587","贩卖毒品罪","4036"
"7588","贩卖毒品罪","4037"
"7589","贩卖毒品罪","4038"
"7590","贩卖毒品罪","4039"
"7591","贩卖毒品罪","4040"
"7592","贩卖毒品罪","4041"
"7593","贩卖毒品罪","4042"
"7594","贩卖毒品罪","4043"
"7595","贩卖毒品罪","4044"
"7596","贩卖毒品罪","4045"
"7597","贩卖毒品罪","4046"
